tenor_years,fbil_zero_semi,exact_zero_semi,exact_diff_bp,smooth_zero_semi,smooth_diff_bp,fbil_par_semi,exact_par_semi,smooth_par_semi,exact_par_diff_bp,smooth_par_diff_bp
41.75,8.36,8.24253,-11.74745,8.37963,1.96297,7.69,7.68336,7.6936,-0.66412,0.36001
42.0,8.35,8.23691,-11.30863,8.37502,2.50206,7.69,7.68415,7.69461,-0.58495,0.46064
42.25,8.35,8.23131,-11.86947,8.37,2.00022,7.69,7.68285,7.69344,-0.715,0.34436
42.5,8.34,8.2257,-11.43,8.36459,2.45873,7.69,7.68364,7.69436,-0.63637,0.43569
42.75,8.34,8.2201,-11.99023,8.35879,1.87886,7.69,7.68233,7.69311,-0.76666,0.31084
43.0,8.33,8.2145,-11.55017,8.35262,2.26189,7.69,7.68311,7.69394,-0.68853,0.3938
43.25,8.33,8.2089,-12.10982,8.34609,1.6091,7.69,7.68181,7.69261,-0.81901,0.26126
43.5,8.32,8.20331,-11.66921,8.33922,1.92178,7.69,7.68259,7.69337,-0.7413,0.33669
43.75,8.31,8.19772,-11.22834,8.33201,2.20119,7.69,7.68128,7.69197,-0.87192,0.1973
44.0,8.31,8.19213,-11.78721,8.32449,1.44863,7.69,7.68205,7.69266,-0.79459,0.26601
44.25,8.3,8.18654,-11.34585,8.31665,1.66536,7.69,7.68075,7.69121,-0.92531,0.12053
44.5,8.29,8.18096,-10.90427,8.30853,1.85267,7.69,7.68152,7.69183,-0.84831,0.18328
44.75,8.28,8.17538,-10.46247,8.30012,2.01184,7.69,7.68021,7.69032,-0.97908,0.03243
45.0,8.28,8.1698,-11.02047,8.29144,1.14415,7.69,7.68098,7.6909,-0.90236,0.08991
45.25,8.27,8.16422,-10.57827,8.28251,1.25087,7.69,7.67967,7.68934,-1.03316,-0.06562
45.5,8.26,8.15864,-10.13589,8.27333,1.33328,7.69,7.68043,7.68987,-0.95667,-0.01274
45.75,8.25,8.15307,-9.69334,8.26393,1.39268,7.69,7.67913,7.68828,-1.08746,-0.17232
46.0,8.25,8.14749,-10.25064,8.2543,0.43032,7.69,7.67989,7.68877,-1.01117,-0.12342
46.25,8.24,8.14192,-9.80778,8.24447,0.4475,7.68,7.67858,7.68714,-0.14192,0.71356
46.5,8.23,8.13635,-9.36479,8.23445,0.44548,7.69,7.67934,7.68759,-1.06579,-0.24092
46.75,8.22,8.13078,-8.92167,8.22426,0.42556,7.68,7.67804,7.68593,-0.19647,0.59317
47.0,8.21,8.12522,-8.47843,8.21389,0.38901,7.68,7.6788,7.68636,-0.12046,0.63587
47.25,8.21,8.11965,-9.0351,8.20337,-0.66289,7.68,7.67749,7.68468,-0.25104,0.46763
47.5,8.2,8.11408,-8.59167,8.19271,-0.72886,7.68,7.67825,7.68508,-0.17513,0.50802
47.75,8.19,8.10852,-8.14815,8.18192,-0.80763,7.68,7.67694,7.68338,-0.30559,0.33795
48.0,8.18,8.10295,-7.70457,8.17102,-0.8979,7.68,7.6777,7.68377,-0.22974,0.37656
48.25,8.17,8.09739,-7.26093,8.16002,-0.99841,7.68,7.6764,7.68205,-0.36006,0.20515
48.5,8.16,8.09183,-6.81724,8.14892,-1.10788,7.68,7.67716,7.68242,-0.28425,0.24243
48.75,8.15,8.08626,-6.37351,8.13775,-1.22502,7.68,7.67586,7.6807,-0.41441,0.07014
49.0,8.15,8.0807,-6.92975,8.12651,-2.34856,7.68,7.67661,7.68107,-0.33861,0.10657
49.25,8.14,8.07514,-6.48598,8.11523,-2.47721,7.68,7.67531,7.67934,-0.46859,-0.06616
49.5,8.13,8.06958,-6.04221,8.1039,-2.6097,7.68,7.67607,7.6797,-0.39278,-0.03016
49.75,8.12,8.06402,-5.59844,8.09255,-2.74475,7.68,7.67477,7.67797,-0.52257,-0.2029
50.0,8.11,8.05845,-5.15469,8.08119,-2.88108,7.68,7.67553,7.67833,-0.44672,-0.16691
